,index,block,rank,F_tr,F_rt,log_loss,mse,nmse,dataset,subject,session
0,0,1,"(2, 2, 2)",0.005878434590944099,0.02939429452307035,0.2154516742975236,0.9450439257878611,0.9450439257878611,BNCI2014-004,1,0train
1,1,2,"(3, 4, 4)",0.0010182890188395076,0.07082975159270456,0.07114108591744119,0.7220888719382931,0.7220888719382931,BNCI2014-004,1,0train
2,2,3,"(1, 1, 1)",0.0010235081248320724,0.0730248100321275,0.05571427166526043,0.7198967047820488,0.7198967047820488,BNCI2014-004,1,0train
3,3,4,"(1, 1, 1)",0.001026946728877815,0.07409366483839251,0.052476268407205456,0.7169552993818977,0.7169552993818977,BNCI2014-004,1,0train
4,4,5,"(1, 1, 1)",0.0010294200420712185,0.07491072576260288,0.05736965331903357,0.7155007098513907,0.7155007098513907,BNCI2014-004,1,0train
5,5,6,"(1, 1, 1)",0.001032752206350752,0.07609589125114957,0.04566978184092411,0.7109377910860871,0.7109377910860871,BNCI2014-004,1,0train
6,6,7,"(1, 1, 1)",0.0010359127910750182,0.07695884874206255,0.04880308842300663,0.7078899708571219,0.7078899708571219,BNCI2014-004,1,0train
7,7,8,"(3, 4, 16)",0.00030871298123683034,0.11966990059887915,0.010620020309413898,0.11239129536374491,0.11239129536374491,BNCI2014-004,1,0train
8,8,9,"(2, 2, 2)",0.00030876661082459656,0.122327995504206,0.01021518585305681,0.11068441440801911,0.11068441440801911,BNCI2014-004,1,0train
9,9,10,"(1, 1, 1)",0.00030879395155908556,0.12266508193135973,0.01240343860253222,0.109259124402523,0.109259124402523,BNCI2014-004,1,0train
10,0,1,"(2, 2, 2)",0.002643943113737161,0.017704512910167575,0.371573416631132,0.9581452764504286,0.9581452764504289,BNCI2014-004,1,1train
11,1,2,"(3, 4, 4)",0.000554970301752534,0.047270252605393456,0.12993945244881402,0.7067852762152229,0.7067852762152231,BNCI2014-004,1,1train
12,2,3,"(3, 4, 18)",0.00015320142576432896,0.07634031402569107,0.03938638537678812,0.0007043310559401449,0.0007043310559401451,BNCI2014-004,1,1train
13,3,4,"(3, 4, 16)",0.00015324662544042176,0.11738387050033945,0.022092003539099483,0.00022927307446545556,0.00022927307446545564,BNCI2014-004,1,1train
14,4,5,"(3, 4, 8)",0.0001532472057364258,0.1359174329877021,0.01292639970827207,0.00019854606738944414,0.0001985460673894442,BNCI2014-004,1,1train
15,5,6,"(3, 4, 4)",0.00015324762228720301,0.14487136108452095,0.008653260474724813,0.00018853381485438913,0.00018853381485438918,BNCI2014-004,1,1train
