,block,rank,fold,train_score,val_score,n_features,test_score,dataset,subject,session
0,0,"(3, 4, 8)",0,0.9937629937629938,0.97,96,0.9020979020979021,BNCI2014-004,1,0train
1,0,"(3, 4, 8)",1,1.0,1.0,96,0.8181818181818182,BNCI2014-004,1,0train
2,0,"(3, 4, 8)",2,0.9959514170040487,1.0,96,0.9090909090909092,BNCI2014-004,1,0train
3,0,"(3, 4, 8)",3,0.998650472334683,0.9777777777777777,96,0.8391608391608392,BNCI2014-004,1,0train
4,0,"(3, 4, 8)",4,0.9986486486486487,0.9555555555555555,96,0.8741258741258742,BNCI2014-004,1,0train
5,1,"(3, 4, 4)",0,0.9958419958419958,0.98,144,0.8041958041958043,BNCI2014-004,1,0train
6,1,"(3, 4, 4)",1,1.0,0.9888888888888888,144,0.7902097902097902,BNCI2014-004,1,0train
7,1,"(3, 4, 4)",2,0.9979757085020243,0.9666666666666666,144,0.8811188811188811,BNCI2014-004,1,0train
8,1,"(3, 4, 4)",3,0.9966261808367072,0.9888888888888888,144,0.8321678321678321,BNCI2014-004,1,0train
9,1,"(3, 4, 4)",4,0.9993243243243244,0.9333333333333333,144,0.8461538461538463,BNCI2014-004,1,0train
10,0,"(3, 4, 18)",0,0.8995148995148995,0.5,216,0.6363636363636364,BNCI2014-004,2,0train
11,0,"(3, 4, 18)",1,0.8461538461538461,0.7,216,0.6573426573426574,BNCI2014-004,2,0train
12,0,"(3, 4, 18)",2,0.9224021592442645,0.7999999999999999,216,0.7132867132867133,BNCI2014-004,2,0train
13,0,"(3, 4, 18)",3,0.9325236167341431,0.5,216,0.5734265734265734,BNCI2014-004,2,0train
14,0,"(3, 4, 18)",4,0.8932432432432433,0.7888888888888889,216,0.5034965034965035,BNCI2014-004,2,0train
15,1,"(3, 4, 4)",0,0.9362439362439363,0.6799999999999999,264,0.6153846153846154,BNCI2014-004,2,0train
16,1,"(3, 4, 4)",1,0.9237516869095816,0.7666666666666667,264,0.5944055944055944,BNCI2014-004,2,0train
17,1,"(3, 4, 4)",2,0.9453441295546559,0.8222222222222222,264,0.6783216783216783,BNCI2014-004,2,0train
18,1,"(3, 4, 4)",3,0.9460188933873145,0.4888888888888888,264,0.5174825174825175,BNCI2014-004,2,0train
19,1,"(3, 4, 4)",4,0.9608108108108109,0.6777777777777778,264,0.5104895104895105,BNCI2014-004,2,0train
20,0,"(1, 1, 1)",0,0.914819944598338,0.74,1,0.6597222222222221,BNCI2014-004,3,0train
21,0,"(1, 1, 1)",1,0.8670715249662618,0.43333333333333335,1,0.4166666666666667,BNCI2014-004,3,0train
22,0,"(1, 1, 1)",2,0.9089068825910931,0.6444444444444444,1,0.6875,BNCI2014-004,3,0train
23,0,"(1, 1, 1)",3,0.8758434547908233,0.4777777777777778,1,0.5763888888888888,BNCI2014-004,3,0train
24,0,"(1, 1, 1)",4,0.8576248313090419,0.5888888888888889,1,0.47916666666666663,BNCI2014-004,3,0train
25,1,"(3, 4, 8)",0,0.974376731301939,0.6699999999999999,97,0.6944444444444444,BNCI2014-004,3,0train
26,1,"(3, 4, 8)",1,0.98110661268556,0.5888888888888888,97,0.45138888888888895,BNCI2014-004,3,0train
