,block,rank,val_score,test_score,dataset,subject,session
0,1,"(2, 2)",0.8128252905011243,0.7791666666666667,BNCI2014-009,3,0
1,2,"(1, 1)",0.8437153744149356,0.7583333333333333,BNCI2014-009,3,0
2,3,"(2, 2)",0.8748806285411787,0.7104166666666667,BNCI2014-009,3,0
3,4,"(1, 1)",0.9067372150677967,0.7104166666666667,BNCI2014-009,3,0
4,5,"(1, 1)",0.9122720673407028,0.7520833333333332,BNCI2014-009,3,0
5,6,"(1, 1)",0.9165948603445655,0.7291666666666667,BNCI2014-009,3,0
6,7,"(1, 1)",0.9262669622780948,0.7625000000000001,BNCI2014-009,3,0
7,8,"(1, 1)",0.9395144425051496,0.8270833333333334,BNCI2014-009,3,0
0,1,"(3, 3)",0.9617282785875645,0.9270833333333334,BNCI2014-009,3,1
1,2,"(3, 3)",0.9699886262978861,0.9145833333333334,BNCI2014-009,3,1
2,3,"(1, 1)",0.9770015357118522,0.9125,BNCI2014-009,3,1
3,4,"(1, 1)",0.9829478329690604,0.9083333333333333,BNCI2014-009,3,1
4,5,"(1, 1)",0.9841407613566678,0.9166666666666666,BNCI2014-009,3,1
5,6,"(1, 1)",0.9862771304726113,0.9333333333333333,BNCI2014-009,3,1
0,1,"(4, 4)",0.9710427999569733,0.9448051948051948,BNCI2014-009,3,2
1,2,"(1, 1)",0.9871514652099084,0.9545454545454545,BNCI2014-009,3,2
2,3,"(2, 2)",0.9874238390497265,0.9448051948051948,BNCI2014-009,3,2
3,4,"(2, 2)",0.9927713365910626,0.9431818181818182,BNCI2014-009,3,2
