,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.69166666,55.39214,120.0,1,0train,3,5,BNCI2014-004,HODA
1,0.5972222,70.6589,120.0,1,1train,3,5,BNCI2014-004,HODA
2,0.75703126,54.04088,160.0,1,2train,3,5,BNCI2014-004,HODA
3,0.85546875,47.79862,160.0,1,3test,3,5,BNCI2014-004,HODA
4,0.6898438,51.63547,160.0,1,4test,3,5,BNCI2014-004,HODA
5,0.42222223,72.037704,120.0,2,0train,3,5,BNCI2014-004,HODA
6,0.48333332,71.40422,120.0,2,1train,3,5,BNCI2014-004,HODA
7,0.5359375,71.88491,160.0,2,2train,3,5,BNCI2014-004,HODA
8,0.5388889,73.53193,120.0,2,3test,3,5,BNCI2014-004,HODA
9,0.52265626,73.49536,160.0,2,4test,3,5,BNCI2014-004,HODA
10,0.56805557,71.56648,120.0,3,0train,3,5,BNCI2014-004,HODA
11,0.4236111,76.138695,120.0,3,1train,3,5,BNCI2014-004,HODA
12,0.6117188,71.693306,160.0,3,2train,3,5,BNCI2014-004,HODA
13,0.465625,70.58977,160.0,3,3test,3,5,BNCI2014-004,HODA
14,0.575,66.697815,160.0,3,4test,3,5,BNCI2014-004,HODA
15,0.9375,52.50651,120.0,4,0train,3,5,BNCI2014-004,HODA
16,0.9377551,43.448265,140.0,4,1train,3,5,BNCI2014-004,HODA
17,0.9984375,46.49594,160.0,4,2train,3,5,BNCI2014-004,HODA
18,1.0,44.288475,160.0,4,3test,3,5,BNCI2014-004,HODA
19,0.94921875,47.101734,160.0,4,4test,3,5,BNCI2014-004,HODA
20,0.83055556,51.629852,120.0,5,0train,3,5,BNCI2014-004,HODA
21,0.81122446,50.534355,140.0,5,1train,3,5,BNCI2014-004,HODA
22,0.93671876,46.316036,160.0,5,2train,3,5,BNCI2014-004,HODA
23,0.82421875,45.847378,160.0,5,3test,3,5,BNCI2014-004,HODA
24,0.9742187,43.06568,160.0,5,4test,3,5,BNCI2014-004,HODA
25,0.69305557,62.97998,120.0,6,0train,3,5,BNCI2014-004,HODA
26,0.7097222,56.89693,120.0,6,1train,3,5,BNCI2014-004,HODA
27,0.653125,47.336117,160.0,6,2train,3,5,BNCI2014-004,HODA
28,0.934375,38.473385,160.0,6,3test,3,5,BNCI2014-004,HODA
29,0.86640626,38.566082,160.0,6,4test,3,5,BNCI2014-004,HODA
30,0.65833336,64.86411,120.0,7,0train,3,5,BNCI2014-004,HODA
31,0.55694443,59.79481,120.0,7,1train,3,5,BNCI2014-004,HODA
32,0.8414062,38.62238,160.0,7,2train,3,5,BNCI2014-004,HODA
33,0.64375,49.12273,160.0,7,3test,3,5,BNCI2014-004,HODA
34,0.6898438,42.493114,160.0,7,4test,3,5,BNCI2014-004,HODA
35,0.5234375,64.41531,160.0,8,0train,3,5,BNCI2014-004,HODA
36,0.67777777,59.26549,120.0,8,1train,3,5,BNCI2014-004,HODA
37,0.8828125,46.935196,160.0,8,2train,3,5,BNCI2014-004,HODA
38,0.903125,45.92588,160.0,8,3test,3,5,BNCI2014-004,HODA
39,0.9921875,42.047417,160.0,8,4test,3,5,BNCI2014-004,HODA
40,0.6111111,58.748543,120.0,9,0train,3,5,BNCI2014-004,HODA
41,0.42222223,65.469894,120.0,9,1train,3,5,BNCI2014-004,HODA
42,0.8960937,43.923294,160.0,9,2train,3,5,BNCI2014-004,HODA
43,0.909375,39.70587,160.0,9,3test,3,5,BNCI2014-004,HODA
44,0.7828125,46.672783,160.0,9,4test,3,5,BNCI2014-004,HODA
