,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.93701756,13.9563055,576.0,1,0,16,3,BNCI2014-009,HODA
1,0.9187171,12.367647,576.0,1,1,16,3,BNCI2014-009,HODA
2,0.9240515,4.377621,576.0,1,2,16,3,BNCI2014-009,HODA
0,0.95807564,38.74583,576.0,1,0,16,3,BNCI2014-009,PARAFACDA
1,0.9505318,11.492561,576.0,1,1,16,3,BNCI2014-009,PARAFACDA
2,0.95120066,20.705555,576.0,1,2,16,3,BNCI2014-009,PARAFACDA
0,0.96363485,38.700592,576.0,1,0,16,3,BNCI2014-009,BTTDA
1,0.9649068,10.295688,576.0,1,1,16,3,BNCI2014-009,BTTDA
2,0.96180373,22.37479,576.0,1,2,16,3,BNCI2014-009,BTTDA
0,0.9387774,15.2932005,576.0,2,0,16,3,BNCI2014-009,HODA
1,0.96161187,6.666966,576.0,2,1,16,3,BNCI2014-009,HODA
2,0.9445943,6.5195036,576.0,2,2,16,3,BNCI2014-009,HODA
0,0.9500932,38.58313,576.0,2,0,16,3,BNCI2014-009,PARAFACDA
1,0.96554273,12.532797,576.0,2,1,16,3,BNCI2014-009,PARAFACDA
2,0.9404222,18.446718,576.0,2,2,16,3,BNCI2014-009,PARAFACDA
0,0.93899125,41.07713,576.0,2,0,16,3,BNCI2014-009,BTTDA
1,0.966875,25.718245,576.0,2,1,16,3,BNCI2014-009,BTTDA
2,0.9547752,9.04827,576.0,2,2,16,3,BNCI2014-009,BTTDA
0,0.75086623,13.995073,576.0,3,0,16,3,BNCI2014-009,HODA
1,0.931727,12.8325,576.0,3,1,16,3,BNCI2014-009,HODA
2,0.94651866,3.3057168,576.0,3,2,16,3,BNCI2014-009,HODA
0,0.7456031,36.862988,576.0,3,0,16,3,BNCI2014-009,PARAFACDA
1,0.9254331,12.26707,576.0,3,1,16,3,BNCI2014-009,PARAFACDA
2,0.94423795,18.905327,576.0,3,2,16,3,BNCI2014-009,PARAFACDA
0,0.7362829,40.893,576.0,3,0,16,3,BNCI2014-009,BTTDA
1,0.9492489,29.113258,576.0,3,1,16,3,BNCI2014-009,BTTDA
2,0.9523849,19.051012,576.0,3,2,16,3,BNCI2014-009,BTTDA
0,0.94683117,16.457325,576.0,4,0,16,3,BNCI2014-009,HODA
1,0.9412774,4.044679,576.0,4,1,16,3,BNCI2014-009,HODA
2,0.9215515,7.4412727,576.0,4,2,16,3,BNCI2014-009,HODA
0,0.96746165,37.334724,576.0,4,0,16,3,BNCI2014-009,PARAFACDA
1,0.95313597,9.908193,576.0,4,1,16,3,BNCI2014-009,PARAFACDA
2,0.9246985,21.981943,576.0,4,2,16,3,BNCI2014-009,PARAFACDA
0,0.9688871,41.010643,576.0,4,0,16,3,BNCI2014-009,BTTDA
1,0.9477851,24.501472,576.0,4,1,16,3,BNCI2014-009,BTTDA
2,0.9461513,18.322172,576.0,4,2,16,3,BNCI2014-009,BTTDA
0,0.9744353,11.09986,576.0,5,0,16,3,BNCI2014-009,HODA
1,0.95864034,15.600903,576.0,5,1,16,3,BNCI2014-009,HODA
2,0.9627796,3.20268,576.0,5,2,16,3,BNCI2014-009,HODA
0,0.97010416,34.158123,576.0,5,0,16,3,BNCI2014-009,PARAFACDA
1,0.9560472,13.962423,576.0,5,1,16,3,BNCI2014-009,PARAFACDA
2,0.97217107,23.347979,576.0,5,2,16,3,BNCI2014-009,PARAFACDA
0,0.9743202,43.617954,576.0,5,0,16,3,BNCI2014-009,BTTDA
1,0.9577029,29.051394,576.0,5,1,16,3,BNCI2014-009,BTTDA
2,0.96786183,19.331207,576.0,5,2,16,3,BNCI2014-009,BTTDA
0,0.8821053,16.4798,576.0,6,0,16,3,BNCI2014-009,HODA
1,0.9290515,5.8141513,576.0,6,1,16,3,BNCI2014-009,HODA
2,0.9423903,4.2045784,576.0,6,2,16,3,BNCI2014-009,HODA
0,0.8976206,44.965027,576.0,6,0,16,3,BNCI2014-009,PARAFACDA
1,0.9217653,30.646889,576.0,6,1,16,3,BNCI2014-009,PARAFACDA
2,0.9419682,6.722448,576.0,6,2,16,3,BNCI2014-009,PARAFACDA
0,0.89553726,42.1131,576.0,6,0,16,3,BNCI2014-009,BTTDA
1,0.9348574,27.843351,576.0,6,1,16,3,BNCI2014-009,BTTDA
2,0.9447807,23.574152,576.0,6,2,16,3,BNCI2014-009,BTTDA
0,0.9469024,13.093425,576.0,7,0,16,3,BNCI2014-009,HODA
1,0.9473136,4.766896,576.0,7,1,16,3,BNCI2014-009,HODA
2,0.8984101,3.2093852,576.0,7,2,16,3,BNCI2014-009,HODA
0,0.93523574,37.20193,576.0,7,0,16,3,BNCI2014-009,PARAFACDA
1,0.941875,12.46569,576.0,7,1,16,3,BNCI2014-009,PARAFACDA
2,0.8766228,20.91001,576.0,7,2,16,3,BNCI2014-009,PARAFACDA
0,0.9454496,43.130066,576.0,7,0,16,3,BNCI2014-009,BTTDA
1,0.94593203,25.274721,576.0,7,1,16,3,BNCI2014-009,BTTDA
2,0.9066612,18.192072,576.0,7,2,16,3,BNCI2014-009,BTTDA
0,0.93892545,12.316651,576.0,8,0,16,3,BNCI2014-009,HODA
1,0.9090735,14.451727,576.0,8,1,16,3,BNCI2014-009,HODA
2,0.891579,3.7710354,576.0,8,2,16,3,BNCI2014-009,HODA
0,0.94765353,34.39313,576.0,8,0,16,3,BNCI2014-009,PARAFACDA
1,0.88466007,7.051521,576.0,8,1,16,3,BNCI2014-009,PARAFACDA
2,0.8916886,24.7671,576.0,8,2,16,3,BNCI2014-009,PARAFACDA
0,0.9352138,42.327503,576.0,8,0,16,3,BNCI2014-009,BTTDA
1,0.91742873,28.050917,576.0,8,1,16,3,BNCI2014-009,BTTDA
2,0.87885964,21.750431,576.0,8,2,16,3,BNCI2014-009,BTTDA
0,0.9827961,26.550333,576.0,9,0,16,3,BNCI2014-009,HODA
1,0.9622478,4.0547733,576.0,9,1,16,3,BNCI2014-009,HODA
2,0.9284046,2.2123857,576.0,9,2,16,3,BNCI2014-009,HODA
0,0.9867653,39.602184,576.0,9,0,16,3,BNCI2014-009,PARAFACDA
1,0.97626644,25.998215,576.0,9,1,16,3,BNCI2014-009,PARAFACDA
2,0.951398,12.149185,576.0,9,2,16,3,BNCI2014-009,PARAFACDA
0,0.9842818,41.79558,576.0,9,0,16,3,BNCI2014-009,BTTDA
1,0.9737061,25.916965,576.0,9,1,16,3,BNCI2014-009,BTTDA
2,0.9560143,15.615296,576.0,9,2,16,3,BNCI2014-009,BTTDA
0,0.98523575,26.33267,576.0,10,0,16,3,BNCI2014-009,HODA
1,0.9828673,3.5226226,576.0,10,1,16,3,BNCI2014-009,HODA
2,0.9759649,1.4758025,576.0,10,2,16,3,BNCI2014-009,HODA
0,0.9884649,34.69193,576.0,10,0,16,3,BNCI2014-009,PARAFACDA
1,0.9806414,15.654946,576.0,10,1,16,3,BNCI2014-009,PARAFACDA
2,0.9673794,30.708815,576.0,10,2,16,3,BNCI2014-009,PARAFACDA
0,0.9889857,42.035538,576.0,10,0,16,3,BNCI2014-009,BTTDA
1,0.98618424,26.266375,576.0,10,1,16,3,BNCI2014-009,BTTDA
2,0.97782344,17.537197,576.0,10,2,16,3,BNCI2014-009,BTTDA
