,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.82886124,7.9336553,4200.0,1,0,8,1,BNCI2014-008,HODA
1,0.7812408,7.80256,4200.0,2,0,8,1,BNCI2014-008,HODA
2,0.8648102,5.6685753,4200.0,3,0,8,1,BNCI2014-008,HODA
3,0.80078775,2.0232873,4200.0,4,0,8,1,BNCI2014-008,HODA
4,0.8457592,2.2475576,4200.0,5,0,8,1,BNCI2014-008,HODA
5,0.8504918,7.2842073,4200.0,6,0,8,1,BNCI2014-008,HODA
6,0.85609794,7.119827,4200.0,7,0,8,1,BNCI2014-008,HODA
7,0.94249797,7.0642,4200.0,8,0,8,1,BNCI2014-008,HODA
8,0.83592856,10.910799,4200.0,1,0,8,1,BNCI2014-008,PARAFACDA_10
9,0.8109449,11.30877,4200.0,2,0,8,1,BNCI2014-008,PARAFACDA_10
10,0.88640815,10.17902,4200.0,3,0,8,1,BNCI2014-008,PARAFACDA_10
11,0.80604285,10.221559,4200.0,4,0,8,1,BNCI2014-008,PARAFACDA_10
12,0.8554898,9.704973,4200.0,5,0,8,1,BNCI2014-008,PARAFACDA_10
13,0.8729469,10.748118,4200.0,6,0,8,1,BNCI2014-008,PARAFACDA_10
14,0.8669102,10.364328,4200.0,7,0,8,1,BNCI2014-008,PARAFACDA_10
15,0.9500551,10.418198,4200.0,8,0,8,1,BNCI2014-008,PARAFACDA_10
16,0.83233875,89.239426,4200.0,1,0,8,1,BNCI2014-008,BTTDA_10
17,0.7992694,114.741486,4200.0,2,0,8,1,BNCI2014-008,BTTDA_10
18,0.88484085,53.442623,4200.0,3,0,8,1,BNCI2014-008,BTTDA_10
19,0.8124735,69.630226,4200.0,4,0,8,1,BNCI2014-008,BTTDA_10
20,0.8504041,75.899414,4200.0,5,0,8,1,BNCI2014-008,BTTDA_10
21,0.8842633,105.09035,4200.0,6,0,8,1,BNCI2014-008,BTTDA_10
22,0.87296534,116.60025,4200.0,7,0,8,1,BNCI2014-008,BTTDA_10
23,0.95043063,107.63239,4200.0,8,0,8,1,BNCI2014-008,BTTDA_10
