,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.80151516,1.7814386,119.0,1,0,14,3,Zhou2016,BTTDA_2
1,0.906,1.722698,100.0,1,1,14,3,Zhou2016,BTTDA_2
2,0.922,1.6318605,100.0,1,2,14,3,Zhou2016,BTTDA_2
3,0.896,1.733078,100.0,2,0,14,3,Zhou2016,BTTDA_2
4,0.67160493,1.8762211,90.0,2,1,14,3,Zhou2016,BTTDA_2
5,0.892,2.0484145,100.0,2,2,14,3,Zhou2016,BTTDA_2
6,0.942,1.7711561,100.0,3,0,14,3,Zhou2016,BTTDA_2
7,0.942,1.5794246,100.0,3,1,14,3,Zhou2016,BTTDA_2
8,0.908,1.8914312,100.0,3,2,14,3,Zhou2016,BTTDA_2
9,0.745679,1.933184,90.0,4,0,14,3,Zhou2016,BTTDA_2
10,0.922,1.4255216,100.0,4,1,14,3,Zhou2016,BTTDA_2
11,0.914,1.6053061,100.0,4,2,14,3,Zhou2016,BTTDA_2
12,0.8560606,1.4037402,119.0,1,0,14,3,Zhou2016,HODA
13,0.91,0.6688379,100.0,1,1,14,3,Zhou2016,HODA
14,0.944,0.5679202,100.0,1,2,14,3,Zhou2016,HODA
15,0.896,0.6509944,100.0,2,0,14,3,Zhou2016,HODA
16,0.63950616,0.8958994,90.0,2,1,14,3,Zhou2016,HODA
17,0.892,0.8735115,100.0,2,2,14,3,Zhou2016,HODA
18,0.946,0.6122794,100.0,3,0,14,3,Zhou2016,HODA
19,0.966,0.5194594,100.0,3,1,14,3,Zhou2016,HODA
20,0.912,0.6873319,100.0,3,2,14,3,Zhou2016,HODA
21,0.78271604,0.9705709,90.0,4,0,14,3,Zhou2016,HODA
22,0.918,0.45478812,100.0,4,1,14,3,Zhou2016,HODA
23,0.912,0.663181,100.0,4,2,14,3,Zhou2016,HODA
