,subject,dataset,fold,theta,n_blocks,train_score,test_score,train_mse,test_mse
0,1,AlexandreMotorImagery,0,0.0,1,0.9821428571428571,0.75,0.984397920400639,1.0059650844957388
1,1,AlexandreMotorImagery,0,0.0,2,1.0,0.75,0.8421212290384001,0.8800738525016767
2,1,AlexandreMotorImagery,0,0.0,3,1.0,0.5,0.8390740240013923,0.879139888569022
3,1,AlexandreMotorImagery,0,0.0,4,1.0,0.75,0.8369465746088242,0.8802622335622898
4,1,AlexandreMotorImagery,0,0.0,5,1.0,0.75,0.835383244759139,0.8806464637637376
5,1,AlexandreMotorImagery,0,0.0,6,1.0,0.75,0.8345220225363765,0.8797823631135104
6,1,AlexandreMotorImagery,0,0.0,7,1.0,0.75,0.8336197694480525,0.8805695516856613
7,1,AlexandreMotorImagery,0,0.0,8,1.0,0.5,0.8330313565234455,0.8806914266929573
8,1,AlexandreMotorImagery,0,0.0,9,1.0,0.5,0.8319742229712921,0.8794448917399829
9,1,AlexandreMotorImagery,0,0.0,10,1.0,0.25,0.8307810214216457,0.8817951286426984
10,1,AlexandreMotorImagery,0,0.0,11,1.0,0.5,0.8301911271843855,0.8819429030531194
11,1,AlexandreMotorImagery,0,0.0,12,1.0,0.5,0.8295683912318612,0.8826127260923349
12,1,AlexandreMotorImagery,0,0.0,13,1.0,0.5,0.8289478591619058,0.8836790965294876
13,1,AlexandreMotorImagery,0,0.0,14,1.0,0.5,0.8284691127053072,0.8842118400950245
14,1,AlexandreMotorImagery,0,0.0,15,1.0,0.5,0.8274377217513255,0.8857454400783974
15,1,AlexandreMotorImagery,0,0.0,16,1.0,0.5,0.8269516431928177,0.8857753786337151
16,1,AlexandreMotorImagery,0,0.1,1,0.9821428571428571,0.75,0.984397920400639,1.0059650844957388
17,1,AlexandreMotorImagery,0,0.1,2,1.0,0.75,0.8421212290384001,0.8800738525016767
18,1,AlexandreMotorImagery,0,0.1,3,1.0,0.75,0.8352058394988733,0.8809150229941264
19,1,AlexandreMotorImagery,0,0.1,4,1.0,0.5,0.8323693651922517,0.8830498398818705
20,1,AlexandreMotorImagery,0,0.1,5,1.0,0.0,0.8306857506828998,0.8828540269103117
21,1,AlexandreMotorImagery,0,0.1,6,1.0,1.0,0.8289218100971986,0.8807346060522772
22,1,AlexandreMotorImagery,0,0.1,7,1.0,0.75,0.8278553438797782,0.8809733452488979
23,1,AlexandreMotorImagery,0,0.1,8,1.0,0.5,0.8264377724886296,0.88024441761993
24,1,AlexandreMotorImagery,0,0.1,9,1.0,0.5,0.8253938187803124,0.8802264622627017
25,1,AlexandreMotorImagery,0,0.1,10,1.0,0.5,0.8243464443972418,0.8805688511229988
26,1,AlexandreMotorImagery,0,0.1,11,1.0,0.5,0.8230278496171928,0.8802008161813674
27,1,AlexandreMotorImagery,0,0.1,12,1.0,0.5,0.8219948005827626,0.8804726797869775
28,1,AlexandreMotorImagery,0,0.1,13,1.0,0.5,0.8208415733416948,0.8803032730858946
29,1,AlexandreMotorImagery,0,0.1,14,1.0,0.5,0.8199107290556643,0.8820920298378772
30,1,AlexandreMotorImagery,0,0.1,15,1.0,0.5,0.8186059859939357,0.8827442296456863
31,1,AlexandreMotorImagery,0,0.1,16,1.0,0.5,0.8177470902858599,0.8819207512055653
32,1,AlexandreMotorImagery,0,0.2,1,0.9642857142857143,0.25,0.9940583266597569,1.0004194315189938
33,1,AlexandreMotorImagery,0,0.2,2,1.0,0.25,0.9898256176831833,1.01807916831512
34,1,AlexandreMotorImagery,0,0.2,3,1.0,0.25,0.8392524233511554,0.8795036423907475
35,1,AlexandreMotorImagery,0,0.2,4,1.0,0.5,0.8266565755567935,0.9164640527199308
36,1,AlexandreMotorImagery,0,0.2,5,1.0,0.5,0.8165875171142276,0.9434828651605307
37,1,AlexandreMotorImagery,0,0.2,6,1.0,0.25,0.8085717434457826,0.9613342608322978
38,1,AlexandreMotorImagery,0,0.2,7,1.0,0.25,0.8059420253138623,0.9676839352185644
39,1,AlexandreMotorImagery,0,0.2,8,1.0,0.25,0.7998114884677763,0.9752711354944354
40,1,AlexandreMotorImagery,0,0.2,9,1.0,0.5,0.7941534505731546,0.9750570056897161
41,1,AlexandreMotorImagery,0,0.2,10,1.0,0.5,0.7867692533054905,1.004383612125109
42,1,AlexandreMotorImagery,0,0.2,11,1.0,0.5,0.7791040506211038,1.007394896054497
43,1,AlexandreMotorImagery,0,0.2,12,1.0,0.5,0.772982480572622,1.0179703255788672
44,1,AlexandreMotorImagery,0,0.2,13,1.0,0.75,0.7668473425331395,1.0245642209538046
45,1,AlexandreMotorImagery,0,0.2,14,1.0,0.75,0.7612136167070355,1.030696194224657
46,1,AlexandreMotorImagery,0,0.2,15,1.0,0.75,0.754866329189174,1.0152261225408399
47,1,AlexandreMotorImagery,0,0.2,16,1.0,0.25,0.7493572594816702,1.0097083163798486
48,1,AlexandreMotorImagery,0,0.3,1,1.0,0.5,0.9720214753168226,0.9718354562460833
49,1,AlexandreMotorImagery,0,0.3,2,1.0,0.5,0.9285861154811983,1.0076603645140942
50,1,AlexandreMotorImagery,0,0.3,3,1.0,0.5,0.9117937753625922,0.9602492726135081
51,1,AlexandreMotorImagery,0,0.3,4,1.0,0.5,0.898529359602121,0.9772049098331693
52,1,AlexandreMotorImagery,0,0.3,5,1.0,0.5,0.8699612651892902,0.9855658636946967
53,1,AlexandreMotorImagery,0,0.3,6,1.0,0.5,0.8575768496877053,0.9932191868001772
54,1,AlexandreMotorImagery,0,0.3,7,1.0,0.5,0.8409675712948298,1.0138660383317526
55,1,AlexandreMotorImagery,0,0.3,8,1.0,0.5,0.828328675053308,1.0547620982587558
56,1,AlexandreMotorImagery,0,0.3,9,1.0,0.5,0.8139276931063609,1.041561079403132
57,1,AlexandreMotorImagery,0,0.3,10,1.0,0.5,0.7983274463487972,1.0424781009187425
58,1,AlexandreMotorImagery,0,0.3,11,1.0,0.25,0.7871090571722164,1.0916080128495436
59,1,AlexandreMotorImagery,0,0.3,12,1.0,0.25,0.7746044667504499,1.0924310716031576
60,1,AlexandreMotorImagery,0,0.3,13,1.0,0.25,0.7642172351185179,1.1135297831261026
61,1,AlexandreMotorImagery,0,0.3,14,1.0,0.25,0.7552505448120099,1.136475601696328
62,1,AlexandreMotorImagery,0,0.3,15,1.0,0.25,0.7472653688413836,1.1495213512814686
63,1,AlexandreMotorImagery,0,0.3,16,1.0,0.5,0.7374143666798253,1.1467543925758867
64,1,AlexandreMotorImagery,0,0.4,1,1.0,0.5,0.9499065185152271,0.9809073231192991
65,1,AlexandreMotorImagery,0,0.4,2,1.0,0.5,0.9081911740234839,0.9618907727716487
66,1,AlexandreMotorImagery,0,0.4,3,1.0,0.5,0.879244229294485,1.0715365750333101
67,1,AlexandreMotorImagery,0,0.4,4,1.0,0.5,0.855127566232578,1.0948088651013066
68,1,AlexandreMotorImagery,0,0.4,5,1.0,0.5,0.8290400913786452,1.1827126458237676
69,1,AlexandreMotorImagery,0,0.4,6,1.0,0.5,0.810148105662083,1.2295825732106178
70,1,AlexandreMotorImagery,0,0.4,7,1.0,0.5,0.7917107372640871,1.2191394717033353
71,1,AlexandreMotorImagery,0,0.4,8,1.0,0.5,0.7725526531119999,1.0998213444350455
72,1,AlexandreMotorImagery,0,0.4,9,1.0,0.75,0.7570243855960752,1.129722262250861
73,1,AlexandreMotorImagery,0,0.4,10,1.0,0.75,0.7418903447710293,1.166468296002332
74,1,AlexandreMotorImagery,0,0.4,11,1.0,0.5,0.7270485451387055,1.1865034305152236
75,1,AlexandreMotorImagery,0,0.4,12,1.0,0.5,0.7151260032323534,1.1944104830990483
76,1,AlexandreMotorImagery,0,0.4,13,1.0,0.5,0.7028413425842739,1.2167587327587828
77,1,AlexandreMotorImagery,0,0.4,14,1.0,0.75,0.6937758911349392,1.2187110419802536
78,1,AlexandreMotorImagery,0,0.4,15,1.0,0.25,0.6837570314853861,1.2610863774179637
79,1,AlexandreMotorImagery,0,0.4,16,1.0,0.25,0.6736597413921375,1.2805544192982299
80,1,AlexandreMotorImagery,0,0.5,1,1.0,0.25,0.8737815653665714,1.087556896083611
81,1,AlexandreMotorImagery,0,0.5,2,1.0,0.25,0.825706733942556,1.122589451344441
82,1,AlexandreMotorImagery,0,0.5,3,1.0,0.5,0.7940937109999946,1.1766609991227575
83,1,AlexandreMotorImagery,0,0.5,4,1.0,0.5,0.7659316167485098,1.157699978060988
84,1,AlexandreMotorImagery,0,0.5,5,1.0,0.5,0.7429148950975195,1.183922056173063
85,1,AlexandreMotorImagery,0,0.5,6,1.0,0.5,0.7238514891555393,1.2128580352994796
86,1,AlexandreMotorImagery,0,0.5,7,1.0,0.5,0.706424079751671,1.2423134412140684
87,1,AlexandreMotorImagery,0,0.5,8,1.0,0.5,0.6902786691705365,1.2623484211425904
88,1,AlexandreMotorImagery,0,0.5,9,1.0,0.5,0.6752596057037187,1.3043046570463024
89,1,AlexandreMotorImagery,0,0.5,10,1.0,0.5,0.663066266174383,1.335934340897374
90,1,AlexandreMotorImagery,0,0.5,11,1.0,0.25,0.6513902515352669,1.342639614454017
91,1,AlexandreMotorImagery,0,0.5,12,1.0,0.25,0.6406731495002921,1.3538904674291414
92,1,AlexandreMotorImagery,0,0.5,13,1.0,0.25,0.628153886672091,1.418292193509377
93,1,AlexandreMotorImagery,0,0.5,14,1.0,0.25,0.6183725223872739,1.438746334112074
94,1,AlexandreMotorImagery,0,0.5,15,1.0,0.5,0.6077865393774515,1.458290665622663
95,1,AlexandreMotorImagery,0,0.5,16,1.0,0.5,0.5988567514202388,1.4580549802075997
