,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.8127163,18.396471,4200.0,1,0,8,1,BNCI2014-008,HODA
1,0.83735305,28.496954,4200.0,1,0,8,1,BNCI2014-008,PARAFACDA
2,0.8366449,32.1391,4200.0,1,0,8,1,BNCI2014-008,BTTDA
3,0.7781102,19.133806,4200.0,2,0,8,1,BNCI2014-008,HODA
4,0.81356937,26.471018,4200.0,2,0,8,1,BNCI2014-008,PARAFACDA
5,0.8123143,35.061543,4200.0,2,0,8,1,BNCI2014-008,BTTDA
6,0.86540204,13.273907,4200.0,3,0,8,1,BNCI2014-008,HODA
7,0.8869306,27.28802,4200.0,3,0,8,1,BNCI2014-008,PARAFACDA
8,0.8904041,37.034073,4200.0,3,0,8,1,BNCI2014-008,BTTDA
9,0.8006245,18.575775,4200.0,4,0,8,1,BNCI2014-008,HODA
10,0.80559385,28.457981,4200.0,4,0,8,1,BNCI2014-008,PARAFACDA
11,0.80671835,32.36075,4200.0,4,0,8,1,BNCI2014-008,BTTDA
12,0.8461633,15.470232,4200.0,5,0,8,1,BNCI2014-008,HODA
13,0.8550327,25.247469,4200.0,5,0,8,1,BNCI2014-008,PARAFACDA
14,0.8584959,32.54734,4200.0,5,0,8,1,BNCI2014-008,BTTDA
15,0.86768365,15.613615,4200.0,6,0,8,1,BNCI2014-008,HODA
16,0.87247145,28.480415,4200.0,6,0,8,1,BNCI2014-008,PARAFACDA
17,0.88294697,31.634598,4200.0,6,0,8,1,BNCI2014-008,BTTDA
18,0.8495959,15.494303,4200.0,7,0,8,1,BNCI2014-008,HODA
19,0.8650714,24.18505,4200.0,7,0,8,1,BNCI2014-008,PARAFACDA
20,0.8617041,34.625008,4200.0,7,0,8,1,BNCI2014-008,BTTDA
21,0.93496734,15.213057,4200.0,8,0,8,1,BNCI2014-008,HODA
22,0.94999385,29.35727,4200.0,8,0,8,1,BNCI2014-008,PARAFACDA
23,0.95118773,30.655928,4200.0,8,0,8,1,BNCI2014-008,BTTDA
24,0.9371107,6.6615915,576.0,1,0,16,3,BNCI2014-009,HODA
25,0.91333336,2.805366,576.0,1,1,16,3,BNCI2014-009,HODA
26,0.92646384,2.869411,576.0,1,2,16,3,BNCI2014-009,HODA
27,0.9603783,13.74138,576.0,1,0,16,3,BNCI2014-009,PARAFACDA
28,0.9446875,13.210845,576.0,1,1,16,3,BNCI2014-009,PARAFACDA
29,0.95771384,13.942713,576.0,1,2,16,3,BNCI2014-009,PARAFACDA
30,0.95967656,13.765071,576.0,1,0,16,3,BNCI2014-009,BTTDA
31,0.9594243,12.575778,576.0,1,1,16,3,BNCI2014-009,BTTDA
32,0.9639254,17.237663,576.0,1,2,16,3,BNCI2014-009,BTTDA
33,0.92287827,6.4931545,576.0,2,0,16,3,BNCI2014-009,HODA
34,0.96161187,2.6603892,576.0,2,1,16,3,BNCI2014-009,HODA
35,0.94536185,2.8115687,576.0,2,2,16,3,BNCI2014-009,HODA
36,0.9478728,15.286384,576.0,2,0,16,3,BNCI2014-009,PARAFACDA
37,0.9664364,17.644697,576.0,2,1,16,3,BNCI2014-009,PARAFACDA
38,0.943273,16.213518,576.0,2,2,16,3,BNCI2014-009,PARAFACDA
39,0.95360196,21.208853,576.0,2,0,16,3,BNCI2014-009,BTTDA
40,0.9717708,17.580305,576.0,2,1,16,3,BNCI2014-009,BTTDA
41,0.9538267,18.375957,576.0,2,2,16,3,BNCI2014-009,BTTDA
42,0.766091,6.98511,576.0,3,0,16,3,BNCI2014-009,HODA
43,0.92923796,2.9712882,576.0,3,1,16,3,BNCI2014-009,HODA
44,0.9450055,2.500788,576.0,3,2,16,3,BNCI2014-009,HODA
45,0.749227,15.030441,576.0,3,0,16,3,BNCI2014-009,PARAFACDA
46,0.9209704,13.61742,576.0,3,1,16,3,BNCI2014-009,PARAFACDA
47,0.9464638,13.356605,576.0,3,2,16,3,BNCI2014-009,PARAFACDA
48,0.7471765,17.226377,576.0,3,0,16,3,BNCI2014-009,BTTDA
49,0.94258773,17.207354,576.0,3,1,16,3,BNCI2014-009,BTTDA
50,0.9551645,16.739191,576.0,3,2,16,3,BNCI2014-009,BTTDA
51,0.94564146,5.60858,576.0,4,0,16,3,BNCI2014-009,HODA
52,0.94047695,2.433966,576.0,4,1,16,3,BNCI2014-009,HODA
53,0.92254937,2.1936328,576.0,4,2,16,3,BNCI2014-009,HODA
54,0.96661735,17.185976,576.0,4,0,16,3,BNCI2014-009,PARAFACDA
55,0.95419955,13.778432,576.0,4,1,16,3,BNCI2014-009,PARAFACDA
56,0.9378728,14.510595,576.0,4,2,16,3,BNCI2014-009,PARAFACDA
57,0.96190244,19.649258,576.0,4,0,16,3,BNCI2014-009,BTTDA
58,0.9520011,13.7192955,576.0,4,1,16,3,BNCI2014-009,BTTDA
59,0.94642544,17.195196,576.0,4,2,16,3,BNCI2014-009,BTTDA
60,0.9745175,5.5911083,576.0,5,0,16,3,BNCI2014-009,HODA
61,0.958761,2.4340208,576.0,5,1,16,3,BNCI2014-009,HODA
62,0.96292216,2.0894089,576.0,5,2,16,3,BNCI2014-009,HODA
63,0.96816885,12.933789,576.0,5,0,16,3,BNCI2014-009,PARAFACDA
64,0.9519737,12.631722,576.0,5,1,16,3,BNCI2014-009,PARAFACDA
65,0.9716228,13.408228,576.0,5,2,16,3,BNCI2014-009,PARAFACDA
66,0.9753618,17.841782,576.0,5,0,16,3,BNCI2014-009,BTTDA
67,0.96046054,16.316372,576.0,5,1,16,3,BNCI2014-009,BTTDA
68,0.9749671,15.4256,576.0,5,2,16,3,BNCI2014-009,BTTDA
69,0.88047695,5.6161504,576.0,6,0,16,3,BNCI2014-009,HODA
70,0.92136514,2.433404,576.0,6,1,16,3,BNCI2014-009,HODA
71,0.9335636,2.3584337,576.0,6,2,16,3,BNCI2014-009,HODA
72,0.88451207,16.060574,576.0,6,0,16,3,BNCI2014-009,PARAFACDA
73,0.92030704,13.89106,576.0,6,1,16,3,BNCI2014-009,PARAFACDA
74,0.93839914,12.914936,576.0,6,2,16,3,BNCI2014-009,PARAFACDA
75,0.8866612,14.693423,576.0,6,0,16,3,BNCI2014-009,BTTDA
76,0.92711073,14.956068,576.0,6,1,16,3,BNCI2014-009,BTTDA
77,0.9452028,13.16846,576.0,6,2,16,3,BNCI2014-009,BTTDA
78,0.9412774,6.00122,576.0,7,0,16,3,BNCI2014-009,HODA
79,0.9486239,2.565209,576.0,7,1,16,3,BNCI2014-009,HODA
80,0.90112936,2.286837,576.0,7,2,16,3,BNCI2014-009,HODA
81,0.9335526,13.550623,576.0,7,0,16,3,BNCI2014-009,PARAFACDA
82,0.9379386,13.922777,576.0,7,1,16,3,BNCI2014-009,PARAFACDA
83,0.8683059,13.705905,576.0,7,2,16,3,BNCI2014-009,PARAFACDA
84,0.93629384,14.550029,576.0,7,0,16,3,BNCI2014-009,BTTDA
85,0.9387829,12.634194,576.0,7,1,16,3,BNCI2014-009,BTTDA
86,0.89607453,15.398007,576.0,7,2,16,3,BNCI2014-009,BTTDA
87,0.93958884,6.020163,576.0,8,0,16,3,BNCI2014-009,HODA
88,0.90901315,3.1018016,576.0,8,1,16,3,BNCI2014-009,HODA
89,0.8904057,3.0790973,576.0,8,2,16,3,BNCI2014-009,HODA
90,0.9474397,19.566322,576.0,8,0,16,3,BNCI2014-009,PARAFACDA
91,0.8799616,15.176546,576.0,8,1,16,3,BNCI2014-009,PARAFACDA
92,0.8852522,14.429656,576.0,8,2,16,3,BNCI2014-009,PARAFACDA
93,0.9382675,17.672493,576.0,8,0,16,3,BNCI2014-009,BTTDA
94,0.9048081,16.56501,576.0,8,1,16,3,BNCI2014-009,BTTDA
95,0.87417763,15.491785,576.0,8,2,16,3,BNCI2014-009,BTTDA
96,0.9845504,6.285057,576.0,9,0,16,3,BNCI2014-009,HODA
97,0.96042216,3.1506438,576.0,9,1,16,3,BNCI2014-009,HODA
98,0.9278564,2.9068313,576.0,9,2,16,3,BNCI2014-009,HODA
99,0.9883059,18.654236,576.0,9,0,16,3,BNCI2014-009,PARAFACDA
100,0.9717818,14.1491785,576.0,9,1,16,3,BNCI2014-009,PARAFACDA
101,0.95050985,13.598,576.0,9,2,16,3,BNCI2014-009,PARAFACDA
102,0.98323464,17.419052,576.0,9,0,16,3,BNCI2014-009,BTTDA
103,0.97348684,12.992379,576.0,9,1,16,3,BNCI2014-009,BTTDA
104,0.9505921,11.482867,576.0,9,2,16,3,BNCI2014-009,BTTDA
105,0.9852522,6.0422773,576.0,10,0,16,3,BNCI2014-009,HODA
