,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.3,540.6474,60.0,1,0,16,1,AlexandreMotorImagery,HODA
1,0.38333333,703.86725,60.0,1,0,16,1,AlexandreMotorImagery,PARAFACDA
2,0.38333333,736.583,60.0,1,0,16,1,AlexandreMotorImagery,BTTDA
3,0.51666665,712.0736,60.0,2,0,16,1,AlexandreMotorImagery,HODA
4,0.53333336,231.10056,60.0,2,0,16,1,AlexandreMotorImagery,PARAFACDA
5,0.53333336,801.9287,60.0,2,0,16,1,AlexandreMotorImagery,BTTDA
6,0.36666667,680.1409,60.0,3,0,16,1,AlexandreMotorImagery,HODA
7,0.6333333,869.7985,60.0,3,0,16,1,AlexandreMotorImagery,PARAFACDA
8,0.48333332,704.4684,60.0,3,0,16,1,AlexandreMotorImagery,BTTDA
9,0.6666667,297.9389,60.0,4,0,16,1,AlexandreMotorImagery,HODA
10,0.5,862.152,60.0,4,0,16,1,AlexandreMotorImagery,PARAFACDA
11,0.6166667,944.0203,60.0,4,0,16,1,AlexandreMotorImagery,BTTDA
12,0.48333332,509.47134,60.0,5,0,16,1,AlexandreMotorImagery,HODA
13,0.55,877.9062,60.0,5,0,16,1,AlexandreMotorImagery,PARAFACDA
14,0.56666666,985.4041,60.0,5,0,16,1,AlexandreMotorImagery,BTTDA
15,0.31666666,767.38403,60.0,6,0,16,1,AlexandreMotorImagery,HODA
16,0.36666667,328.9235,60.0,6,0,16,1,AlexandreMotorImagery,PARAFACDA
17,0.26666668,934.2826,60.0,6,0,16,1,AlexandreMotorImagery,BTTDA
18,0.81666666,473.30762,60.0,7,0,16,1,AlexandreMotorImagery,HODA
19,0.6666667,893.2649,60.0,7,0,16,1,AlexandreMotorImagery,PARAFACDA
20,0.75,969.80444,60.0,7,0,16,1,AlexandreMotorImagery,BTTDA
21,0.6166667,539.0547,60.0,8,0,16,1,AlexandreMotorImagery,HODA
22,0.56666666,519.9479,60.0,8,0,16,1,AlexandreMotorImagery,PARAFACDA
23,0.5833333,995.45166,60.0,8,0,16,1,AlexandreMotorImagery,BTTDA
