,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.35,85.38589,60.0,1,0,16,1,AlexandreMotorImagery,HODA
1,0.41666666,122.24792,60.0,1,0,16,1,AlexandreMotorImagery,PARAFACDA
2,0.43333334,150.17978,60.0,1,0,16,1,AlexandreMotorImagery,BTTDA
3,0.46666667,65.81169,60.0,2,0,16,1,AlexandreMotorImagery,HODA
4,0.45,106.36789,60.0,2,0,16,1,AlexandreMotorImagery,PARAFACDA
5,0.53333336,158.96982,60.0,2,0,16,1,AlexandreMotorImagery,BTTDA
6,0.36666667,55.798233,60.0,3,0,16,1,AlexandreMotorImagery,HODA
7,0.6166667,99.426,60.0,3,0,16,1,AlexandreMotorImagery,PARAFACDA
8,0.51666665,149.28482,60.0,3,0,16,1,AlexandreMotorImagery,BTTDA
9,0.65,80.72645,60.0,4,0,16,1,AlexandreMotorImagery,HODA
10,0.55,49.754204,60.0,4,0,16,1,AlexandreMotorImagery,PARAFACDA
11,0.56666666,154.9026,60.0,4,0,16,1,AlexandreMotorImagery,BTTDA
12,0.53333336,57.03374,60.0,5,0,16,1,AlexandreMotorImagery,HODA
13,0.48333332,65.99204,60.0,5,0,16,1,AlexandreMotorImagery,PARAFACDA
14,0.48333332,143.3635,60.0,5,0,16,1,AlexandreMotorImagery,BTTDA
15,0.3,34.86203,60.0,6,0,16,1,AlexandreMotorImagery,HODA
16,0.35,71.25072,60.0,6,0,16,1,AlexandreMotorImagery,PARAFACDA
17,0.28333333,162.27855,60.0,6,0,16,1,AlexandreMotorImagery,BTTDA
18,0.7,80.61803,60.0,7,0,16,1,AlexandreMotorImagery,HODA
19,0.6666667,64.34429,60.0,7,0,16,1,AlexandreMotorImagery,PARAFACDA
20,0.73333335,160.08511,60.0,7,0,16,1,AlexandreMotorImagery,BTTDA
21,0.5833333,75.778824,60.0,8,0,16,1,AlexandreMotorImagery,HODA
22,0.6,66.772125,60.0,8,0,16,1,AlexandreMotorImagery,PARAFACDA
23,0.6,162.483,60.0,8,0,16,1,AlexandreMotorImagery,BTTDA
