,dataset,subject,session,run,fold,n_blocks,roc_auc_score
0,008-2014,1,session_0,run_0,0,1,0.8120510204081632
1,008-2014,1,session_0,run_0,0,2,0.8056326530612246
2,008-2014,1,session_0,run_0,0,3,0.8132857142857143
3,008-2014,1,session_0,run_0,0,4,0.8081224489795918
4,008-2014,1,session_0,run_0,0,5,0.8105714285714287
5,008-2014,1,session_0,run_0,0,6,0.8098673469387755
6,008-2014,1,session_0,run_0,0,7,0.8100816326530612
7,008-2014,1,session_0,run_0,0,8,0.8095408163265306
8,008-2014,1,session_0,run_0,0,9,0.8097040816326531
9,008-2014,1,session_0,run_0,0,10,0.8098061224489796
10,008-2014,1,session_0,run_0,0,11,0.8100714285714287
11,008-2014,1,session_0,run_0,0,12,0.8127653061224489
12,008-2014,1,session_0,run_0,0,13,0.8131938775510203
13,008-2014,1,session_0,run_0,0,14,0.8129489795918368
14,008-2014,1,session_0,run_0,0,15,0.8129489795918367
15,008-2014,1,session_0,run_0,0,16,0.8134285714285714
16,008-2014,1,session_0,run_0,1,1,0.8221734693877552
17,008-2014,1,session_0,run_0,1,2,0.8597551020408164
18,008-2014,1,session_0,run_0,1,3,0.8613979591836735
19,008-2014,1,session_0,run_0,1,4,0.8652653061224489
20,008-2014,1,session_0,run_0,1,5,0.8627142857142858
21,008-2014,1,session_0,run_0,1,6,0.8626530612244898
22,008-2014,1,session_0,run_0,1,7,0.8636020408163265
23,008-2014,1,session_0,run_0,1,8,0.8640612244897958
24,008-2014,1,session_0,run_0,1,9,0.8641224489795918
25,008-2014,1,session_0,run_0,1,10,0.8641530612244898
26,008-2014,1,session_0,run_0,1,11,0.8639183673469386
27,008-2014,1,session_0,run_0,1,12,0.8638469387755102
28,008-2014,1,session_0,run_0,1,13,0.8635204081632654
29,008-2014,1,session_0,run_0,1,14,0.8634795918367347
30,008-2014,1,session_0,run_0,1,15,0.8634795918367346
31,008-2014,1,session_0,run_0,1,16,0.8634081632653061
32,008-2014,1,session_0,run_0,2,1,0.8051632653061225
33,008-2014,1,session_0,run_0,2,2,0.8443163265306122
34,008-2014,1,session_0,run_0,2,3,0.8447448979591836
35,008-2014,1,session_0,run_0,2,4,0.8389897959183673
36,008-2014,1,session_0,run_0,2,5,0.8469183673469388
37,008-2014,1,session_0,run_0,2,6,0.8471020408163266
38,008-2014,1,session_0,run_0,2,7,0.8476224489795919
39,008-2014,1,session_0,run_0,2,8,0.8476632653061223
40,008-2014,1,session_0,run_0,2,9,0.8495714285714286
