,dataset,subject,session,fold,n_blocks,roc_auc_score
0,008-2014,1,session_0,0,1,0.8076122448979592
1,008-2014,1,session_0,0,2,0.8103877551020408
2,008-2014,1,session_0,0,3,0.8148367346938774
3,008-2014,1,session_0,0,4,0.8145306122448979
4,008-2014,1,session_0,0,5,0.8149795918367347
5,008-2014,1,session_0,0,6,0.8151836734693878
6,008-2014,1,session_0,0,7,0.8152959183673469
7,008-2014,1,session_0,0,8,0.8152551020408162
8,008-2014,1,session_0,0,9,0.8153163265306123
9,008-2014,1,session_0,0,10,0.8154081632653061
10,008-2014,1,session_0,0,11,0.8154183673469387
11,008-2014,1,session_0,0,12,0.8155
12,008-2014,1,session_0,0,13,0.8155204081632653
13,008-2014,1,session_0,0,14,0.8155102040816327
14,008-2014,1,session_0,0,15,0.8154999999999999
15,008-2014,1,session_0,0,16,0.8154693877551018
16,008-2014,1,session_0,0,17,0.8154693877551019
17,008-2014,1,session_0,0,18,0.8154591836734693
18,008-2014,1,session_0,0,19,0.8154591836734693
19,008-2014,1,session_0,0,20,0.8154897959183672
20,008-2014,1,session_0,0,21,0.8169693877551021
21,008-2014,1,session_0,0,22,0.8170102040816325
22,008-2014,1,session_0,0,23,0.8170102040816327
23,008-2014,1,session_0,0,24,0.8170204081632653
24,008-2014,1,session_0,0,25,0.8170102040816327
25,008-2014,1,session_0,0,26,0.8169897959183674
26,008-2014,1,session_0,0,27,0.8170102040816325
27,008-2014,1,session_0,0,28,0.8170204081632653
28,008-2014,1,session_0,0,29,0.817
29,008-2014,1,session_0,0,30,0.8170306122448979
30,008-2014,1,session_0,0,31,0.8170510204081632
31,008-2014,1,session_0,0,32,0.8170612244897959
32,008-2014,1,session_0,1,1,0.8476938775510204
33,008-2014,1,session_0,1,2,0.8588367346938774
34,008-2014,1,session_0,1,3,0.8578163265306122
35,008-2014,1,session_0,1,4,0.8579081632653061
36,008-2014,1,session_0,1,5,0.8582755102040817
37,008-2014,1,session_0,1,6,0.8583673469387756
38,008-2014,1,session_0,1,7,0.8580510204081633
39,008-2014,1,session_0,1,8,0.8579897959183673
40,008-2014,1,session_0,1,9,0.8581020408163265
41,008-2014,1,session_0,1,10,0.8581224489795918
42,008-2014,1,session_0,1,11,0.8558775510204082
43,008-2014,1,session_0,1,12,0.8559795918367347
44,008-2014,1,session_0,1,13,0.8560714285714286
45,008-2014,1,session_0,1,14,0.8560102040816328
46,008-2014,1,session_0,1,15,0.8558469387755102
47,008-2014,1,session_0,1,16,0.8559285714285714
48,008-2014,1,session_0,1,17,0.856030612244898
49,008-2014,1,session_0,1,18,0.8560408163265306
50,008-2014,1,session_0,1,19,0.8559285714285714
51,008-2014,1,session_0,1,20,0.8558673469387755
52,008-2014,1,session_0,1,21,0.855795918367347
53,008-2014,1,session_0,1,22,0.8557755102040816
54,008-2014,1,session_0,1,23,0.8556938775510204
55,008-2014,1,session_0,1,24,0.8556632653061225
56,008-2014,1,session_0,1,25,0.855704081632653
57,008-2014,1,session_0,1,26,0.8556836734693877
58,008-2014,1,session_0,1,27,0.8556428571428571
59,008-2014,1,session_0,1,28,0.8556734693877551
60,008-2014,1,session_0,1,29,0.8555918367346937
61,008-2014,1,session_0,1,30,0.8555816326530612
62,008-2014,1,session_0,1,31,0.8555918367346937
63,008-2014,1,session_0,1,32,0.8555510204081632
64,008-2014,1,session_0,2,1,0.8091938775510203
65,008-2014,1,session_0,2,2,0.853704081632653
